"ID","starch_mgperg","sugars_mgperg","volume","campaign","Date","starch","sugars","tnc"
"'6-3",84.2749004,37.39921647,"05",1,2013-03-07,0.0842749004,0.03739921647,0.12167411687
"'6-3",91.73863636,50.75705682,"05",2,2013-03-22,0.09173863636,0.05075705682,0.14249569318
"'6-3",101.0571429,64.81758036,"05",3,2013-04-08,0.1010571429,0.06481758036,0.16587472326
"'6-3",65.44086022,60.04423775,"05",4,2013-04-17,0.06544086022,0.06004423775,0.12548509797
"'6-3",53.44864865,89.58794554,"05",5,2013-05-01,0.05344864865,0.08958794554,0.14303659419
"'6-3",62.02427184,76.05385882,"05",6,2013-05-16,0.06202427184,0.07605385882,0.13807813066
"'6-4",103.0921053,46.71790936,"20",1,2013-03-07,0.1030921053,0.04671790936,0.14981001466
"'6-4",87.73933649,71.18959605,"20",2,2013-03-22,0.08773933649,0.07118959605,0.15892893254
"'6-4",24.92647048,64.26088695,"20",3,2013-04-08,0.02492647048,0.06426088695,0.08918735743
"'6-4",12.89878543,45.45848988,"20",4,2013-04-17,0.01289878543,0.04545848988,0.05835727531
"'6-4",38.78475336,77.99821188,"20",5,2013-05-01,0.03878475336,0.07799821188,0.11678296524
"'6-4",40.0546875,74.03405794,"20",6,2013-05-16,0.0400546875,0.07403405794,0.11408874544
"'6-5",136.3601695,63.75956215,"10",1,2013-03-07,0.1363601695,0.06375956215,0.20011973165
"'6-5",122.5877863,55.03450906,"10",2,2013-03-22,0.1225877863,0.05503450906,0.17762229536
"'6-5",121.902439,82.58916159,"10",3,2013-04-08,0.121902439,0.08258916159,0.20449160059
"'6-5",85.98823529,50.21759608,"10",4,2013-04-17,0.08598823529,0.05021759608,0.13620583137
"'6-5",101.5471698,78.4960908,"10",5,2013-05-01,0.1015471698,0.0784960908,0.1800432606
"'6-5",77.65505226,86.56690912,"10",6,2013-05-16,0.07765505226,0.08656690912,0.16422196138
"'6-6",86.45038168,46.02736641,"15",1,2013-03-07,0.08645038168,0.04602736641,0.13247774809
"'6-6",116.3023256,43.40911142,"15",2,2013-03-22,0.1163023256,0.04340911142,0.15971143702
"'6-6",107.7628457,71.20854743,"15",3,2013-04-08,0.1077628457,0.07120854743,0.17897139313
"'6-6",91.68965517,85.018375,"15",4,2013-04-17,0.09168965517,0.085018375,0.17670803017
"'6-6",66.50826446,73.46600723,"15",5,2013-05-01,0.06650826446,0.07346600723,0.13997427169
"'6-6",47.47826087,91.0485777,"15",6,2013-05-16,0.04747826087,0.0910485777,0.13852683857
"'6-7",119.024735,42.82467609,"25",1,2013-03-07,0.119024735,0.04282467609,0.16184941109
"'6-7",168.5320755,60.94833302,"25",2,2013-03-22,0.1685320755,0.06094833302,0.22948040852
"'6-7",143.7539063,65.5138623,"25",3,2013-04-08,0.1437539063,0.0655138623,0.2092677686
"'6-7",99.72151899,48.83433615,"25",4,2013-04-17,0.09972151899,0.04883433615,0.14855585514
"'6-7",87.40140845,83.97306925,"25",5,2013-05-01,0.08740140845,0.08397306925,0.1713744777
"'6-7",89.43497758,63.98347422,"25",6,2013-05-16,0.08943497758,0.06398347422,0.1534184518
"'6-8",62.85869565,66.6407971,"free",1,2013-03-07,0.06285869565,0.0666407971,0.12949949275
"'6-8",19.29056604,87.76039568,"free",2,2013-03-22,0.01929056604,0.08776039568,0.10705096172
"'6-8",44.48809536,110.5606349,"free",3,2013-04-08,0.04448809536,0.1105606349,0.15504873026
"'6-8",71.53220339,51.50467458,"free",4,2013-04-17,0.07153220339,0.05150467458,0.12303687797
"'6-8",24.48086124,90.89470694,"free",5,2013-05-01,0.02448086124,0.09089470694,0.11537556818
"'6-8",56.36915888,103.8234412,"free",6,2013-05-16,0.05636915888,0.1038234412,0.16019260008
"'7-1",69.54166667,50.0799537,"15",1,2013-03-07,0.06954166667,0.0500799537,0.11962162037
"'7-1",110.4705882,56.15910784,"15",3,2013-04-08,0.1104705882,0.05615910784,0.16662969604
"'7-1",111.7237762,71.32226505,"15",4,2013-04-17,0.1117237762,0.07132226505,0.18304604125
"'7-1",112.2686916,59.805625,"15",5,2013-05-01,0.1122686916,0.059805625,0.1720743166
"'7-1",145.4571429,104.6269944,"15",6,2013-05-16,0.1454571429,0.1046269944,0.2500841373
"'7-2",35.74253731,45.01094527,"free",1,2013-03-07,0.03574253731,0.04501094527,0.08075348258
"'7-2",3.294871795,68.34690302,"free",2,2013-03-22,0.003294871795,0.06834690302,0.071641774815
"'7-2",46.05283019,87.17286792,"free",3,2013-04-08,0.04605283019,0.08717286792,0.13322569811
"'7-2",13.6374502,49.50676627,"free",4,2013-04-17,0.0136374502,0.04950676627,0.06314421647
"'7-2",9.839712919,74.15832536,"free",5,2013-05-01,0.009839712919,0.07415832536,0.083998038279
"'7-2",53.41747573,82.42882605,"free",6,2013-05-16,0.05341747573,0.08242882605,0.13584630178
"'7-3",34.34439834,77.58328786,"25",2,2013-03-22,0.03434439834,0.07758328786,0.1119276862
"'7-3",98.11067194,74.3883192,"25",3,2013-04-08,0.09811067194,0.0743883192,0.17249899114
"'7-3",84.01239669,54.87049174,"25",4,2013-04-17,0.08401239669,0.05487049174,0.13888288843
"'7-3",100.0647321,62.41425781,"25",5,2013-05-01,0.1000647321,0.06241425781,0.16247898991
"'7-3",91.43414634,71.98233333,"25",6,2013-05-16,0.09143414634,0.07198233333,0.16341647967
"'7-4",157.3902439,41.09659892,"10",1,2013-03-07,0.1573902439,0.04109659892,0.19848684282
"'7-4",7.975903614,70.59231024,"10",2,2013-03-22,0.007975903614,0.07059231024,0.078568213854
"'7-4",61.77220089,90.26877896,"10",3,2013-04-08,0.06177220089,0.09026877896,0.15204097985
"'7-4",41.07089552,51.36885199,"10",4,2013-04-17,0.04107089552,0.05136885199,0.09243974751
"'7-4",61.96621622,65.80098536,"10",5,2013-05-01,0.06196621622,0.06580098536,0.12776720158
"'7-4",74.90625,67.22443452,"10",6,2013-05-16,0.07490625,0.06722443452,0.14213068452
"'7-5",187.7142857,39.25194444,"20",1,2013-03-07,0.1877142857,0.03925194444,0.22696623014
"'7-5",239.9464286,38.47454241,"20",2,2013-03-22,0.2399464286,0.03847454241,0.27842097101
"'7-5",175.7201366,75.37701365,"20",3,2013-04-08,0.1757201366,0.07537701365,0.25109715025
"'7-5",94.65107914,44.33382854,"20",4,2013-04-17,0.09465107914,0.04433382854,0.13898490768
"'7-5",84.13392857,52.75695313,"20",5,2013-05-01,0.08413392857,0.05275695313,0.1368908817
"'7-5",122.625,88.11924279,"20",6,2013-05-16,0.122625,0.08811924279,0.21074424279
"'7-6",143.5913978,39.39205496,"05",1,2013-03-07,0.1435913978,0.03939205496,0.18298345276
"'7-6",192.826087,33.474851,"05",2,2013-03-22,0.192826087,0.033474851,0.226300938
